,sex,age,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,is_recid,is_violent_recid,score_text,two_year_recid
0,Male,69,Other,0,1,0,0,0,0,Low,No
1,Male,34,African-American,0,3,0,0,1,1,Low,Yes
2,Male,23,African-American,0,8,1,0,0,0,High,No
3,Male,43,Other,0,1,0,0,0,0,Low,No
4,Male,44,Other,0,1,0,0,0,0,Low,No
5,Male,43,Other,0,4,0,0,0,0,Low,No
6,Female,39,Caucasian,0,1,0,0,0,0,Low,No
7,Male,21,Caucasian,0,3,0,0,1,1,Low,Yes
8,Male,27,Caucasian,0,4,0,0,0,0,Low,No
9,Female,37,Caucasian,0,1,0,0,0,0,Low,No
10,Male,41,African-American,0,4,0,0,0,0,Low,No
11,Male,37,Hispanic,0,1,0,0,0,0,Low,No
12,Male,25,African-American,0,10,0,0,0,0,High,No
13,Male,31,Caucasian,0,5,0,0,1,1,Medium,Yes
14,Female,21,Caucasian,0,4,0,0,0,0,Low,No
15,Male,43,Caucasian,0,1,0,0,0,0,Low,No
16,Male,32,Other,0,3,0,0,0,0,Low,No
17,Male,27,African-American,0,3,0,0,1,1,Low,Yes
18,Female,36,Caucasian,0,3,0,0,0,0,Low,No
19,Male,33,African-American,0,10,0,0,1,1,High,Yes
20,Male,55,Caucasian,0,1,0,0,0,0,Low,No
21,Male,26,Caucasian,0,8,0,2,0,0,High,No
22,Male,29,Caucasian,0,2,0,0,0,0,Low,No
23,Female,21,African-American,0,8,0,0,0,0,High,No
24,Male,51,African-American,0,1,0,0,0,0,Low,No
25,Female,51,African-American,0,2,0,0,0,0,Low,No
26,Male,25,Caucasian,0,10,0,0,1,1,High,Yes
27,Male,35,African-American,1,8,0,4,1,1,High,Yes
28,Male,49,Caucasian,0,1,0,0,0,0,Low,No
29,Male,29,African-American,0,4,0,0,0,0,Low,No
30,Female,28,Other,0,2,0,0,0,0,Low,No
31,Female,63,Hispanic,0,1,0,0,0,0,Low,No
32,Male,31,African-American,0,5,0,1,1,0,Medium,No
33,Male,30,Hispanic,0,7,0,0,0,0,Medium,No
34,Male,49,African-American,0,1,0,0,0,0,Low,No
35,Male,53,Caucasian,0,5,0,0,0,0,Medium,No
36,Male,35,African-American,0,3,0,0,0,0,Low,No
37,Male,62,Hispanic,0,1,0,0,0,0,Low,No
38,Male,33,Other,0,1,0,0,0,0,Low,No
39,Female,56,African-American,0,1,0,0,0,0,Low,No
40,Male,45,Hispanic,0,1,0,0,1,1,Low,Yes
41,Male,22,Hispanic,0,4,0,0,0,0,Low,No
