,checking_acc,credit_historic,saving_acc,atual_employ_since,installment_rate,sex,housing,credits_at_bank,classification
0,2,Existing credits paid,1,2,2,Female,Own,1,Bad
1,0,Critical acc/Other cr existing,1,3,2,Male,Own,1,Good
2,1,Existing credits paid,1,3,2,Male,For free,1,Good
3,1,Delay in paying,1,2,3,Male,For free,2,Bad
4,0,Existing credits paid,0,2,2,Male,For free,1,Good
5,0,Existing credits paid,3,4,3,Male,Own,1,Good
6,2,Existing credits paid,1,2,2,Male,Rent,1,Good
7,0,Existing credits paid,4,3,2,Male,Own,1,Good
8,2,Critical acc/Other cr existing,1,0,4,Male,Own,2,Bad
9,2,Existing credits paid,1,1,3,Female,Rent,1,Bad
10,1,Existing credits paid,1,1,3,Female,Rent,1,Bad
11,2,Existing credits paid,1,2,1,Female,Own,1,Good
12,1,Critical acc/Other cr existing,1,4,4,Male,Own,2,Bad
13,1,Existing credits paid,1,2,2,Female,Rent,1,Good
14,1,Existing credits paid,2,2,4,Female,Own,1,Bad
15,0,Critical acc/Other cr existing,0,4,4,Male,Own,2,Good
16,1,No cr taken/all cr paid,0,1,2,Male,Own,3,Good
17,2,Existing credits paid,1,4,4,Female,For free,1,Bad
18,0,Existing credits paid,3,4,3,Male,Own,1,Good
19,0,Critical acc/Other cr existing,1,2,4,Male,Own,3,Good
20,1,Existing credits paid,3,2,2,Male,Rent,1,Good
21,1,Critical acc/Other cr existing,1,1,1,Male,Rent,2,Good
22,2,Critical acc/Other cr existing,2,1,3,Male,Own,1,Good
23,0,Critical acc/Other cr existing,0,2,2,Male,Own,2,Good
24,1,Existing credits paid,1,2,1,Male,Own,1,Good
25,0,No cr taken/all cr paid,1,4,4,Male,Own,1,Good
26,3,All cr at this bank paid,4,2,3,Female,Rent,2,Good
27,2,Existing credits paid,1,2,3,Male,Own,1,Good
28,1,Delay in paying,1,4,3,Male,Own,2,Bad
29,2,Existing credits paid,4,1,3,Male,Own,1,Good
30,1,Existing credits paid,1,2,2,Male,Own,1,Good
